Early Adopter,Uninterested,Homo Economicus,Fearful,Stubborn,Influencer,Careful,Activist
,,Profits,,,,,
,,,Credit Score,,,Credit Score,
,,,Risk Profile,,,Risk Profile,
,,Added Value,,,,,
,,,,,,,
,Legal,Legal,Legal,,,,
,,Trust,Trust,,,Trust,Trust
,,Safety,Safety,,,Safety,
,,,,,,Climate Protection,
,,Cost-Efficiency,Cost-Efficiency,,,Cost-Efficiency,
Knowledge,,Knowledge,Knowledge,Knowledge,Knowledge,Knowledge,
,,,,,,Own Competence	,
,Technical Fit,Technical Fit,Technical Fit,,,,Technical Fit
Environmental Concerns,,,,,,Environmental Concerns,Environmental Concerns
Self-Satisfaction,,Self-Satisfaction,,Self-Satisfaction,,,Self-Satisfaction
,,,,,,Commitment,Commitment
Adherence,,,,Adherence,,Adherence,Adherence
,,,,,,,
,Wellbeing,,Wellbeing,,,Wellbeing,
,Cozyness,,,,,,
,,,,,,,
,Peer-Pressure,,,,Peer-Pressure,,
,,,,,,,
,,,,,Socialising,,
,,,,,,,
Novelty,,,,,,,
,,,,,,,
,,,,,Brag,,
Trends,,,,,,,
,Authority,,,,,,
,,,,,,,
,,,,,Poseur,,
