experience_raw,n
I am aware of this and could consider it in the future,1789
I have installed / implemented / am currently doing this myself,1163
I have already actively looked for information about it,928
"I am unaware of this technology, decision, or behaviour",838
Already present when I moved in,685
I would never apply / use it,606
I installed / implemented this myself,26
I don't know this technology,15
Technologies you will never do,4
Technologies implemented by me,3
Technologies you are not aware,3
Technologies you are interested on,1
