variable,n_missing,n_total,n_valid,percentage_missing
work_home,25,403,378,6.2
type_house,22,403,381,5.5
political_orientation,20,403,383,5
year_of_birth,16,403,387,4
age,16,403,387,4
age_group,16,403,387,4
gender,15,403,388,3.7
employment,14,403,389,3.5
education_group,14,403,389,3.5
vote_type,10,403,393,2.5
country,7,403,396,1.7
residence_region,7,403,396,1.7
tenure,7,403,396,1.7
city_size,0,403,403,0
climate_zone,0,403,403,0
source_survey,0,403,403,0
identifier_type,0,403,403,0
row_quality,0,403,403,0
