"D","n_patterns_covered","freq_covered","pct_covered"
0,1,112420,14.0525
1,18,122151,15.268875
2,76,147165,18.395625
3,192,178441,22.305125
4,406,205395,25.674375
5,807,255844,31.9805
6,1467,306963,38.370375
7,2355,354656,44.332
8,3573,390481,48.810125
9,5078,417610,52.20125
10,6825,440358,55.04475
11,8751,460102,57.51275
12,10891,479007,59.875875
13,12961,498811,62.351375
14,15064,520644,65.0805
15,31833,800000,100
16,31833,800000,100
17,31833,800000,100
18,31833,800000,100
19,31833,800000,100
20,31833,800000,100
