"cluster","expert","vol_cluster","vol_expert","vol_common","pct_cluster_covered","pct_expert_covered","jaccard"
"cluster_1","Early.Adopter",5,7,3,60,42.8571428571429,33.3333333333333
"cluster_1","Fearful",5,8,5,100,62.5,62.5
"cluster_1","Careful",5,5,5,100,100,100
"cluster_1","Stubborn",5,7,5,100,71.4285714285714,71.4285714285714
"cluster_1","Influencer",5,7,3,60,42.8571428571429,33.3333333333333
"cluster_1","Uninterested",5,8,4,80,50,44.4444444444444
"cluster_1","Homo.Economicus",5,8,4,80,50,44.4444444444444
"cluster_1","X8",5,7,3,60,42.8571428571429,33.3333333333333
"cluster_2","Early.Adopter",9,7,7,77.7777777777778,100,77.7777777777778
"cluster_2","Fearful",9,8,8,88.8888888888889,100,88.8888888888889
"cluster_2","Careful",9,5,5,55.5555555555556,100,55.5555555555556
"cluster_2","Stubborn",9,7,7,77.7777777777778,100,77.7777777777778
"cluster_2","Influencer",9,7,7,77.7777777777778,100,77.7777777777778
"cluster_2","Uninterested",9,8,8,88.8888888888889,100,88.8888888888889
"cluster_2","Homo.Economicus",9,8,8,88.8888888888889,100,88.8888888888889
"cluster_2","X8",9,7,7,77.7777777777778,100,77.7777777777778
"cluster_3","Early.Adopter",2,7,2,100,28.5714285714286,28.5714285714286
"cluster_3","Fearful",2,8,2,100,25,25
"cluster_3","Careful",2,5,2,100,40,40
"cluster_3","Stubborn",2,7,2,100,28.5714285714286,28.5714285714286
"cluster_3","Influencer",2,7,1,50,14.2857142857143,12.5
"cluster_3","Uninterested",2,8,2,100,25,25
"cluster_3","Homo.Economicus",2,8,2,100,25,25
"cluster_3","X8",2,7,2,100,28.5714285714286,28.5714285714286
